Date,Close
2020/03/02,134.30
2020/03/03,128.90
2020/03/04,134.22
2020/03/05,129.55
2020/03/06,127.73
2020/03/09,117.81
2020/03/10,124.77
2020/03/11,117.97
2020/03/12,102.81
2020/03/13,107.95
2020/03/16,99.08
2020/03/17,106.65
2020/03/18,103.55
2020/03/19,100.34
2020/03/20,95.39
2020/03/23,94.77
2020/03/24,105.48
2020/03/25,105.85
2020/03/26,112.89
2020/03/27,108.03
2020/03/30,112.93
2020/03/31,110.93
